Federal organization,Fiscal year,GHG source,GHG scope,Energy category,Energy use (GJ),Emissions (t)
Parks Canada,FY 2014-15,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",72217.1653,5038.388923
Parks Canada,FY 2014-15,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",65789.0231,4706.586149
Parks Canada,FY 2014-15,fleets,1,Gasoline,72340.87805,4634.460842
Parks Canada,FY 2014-15,facilities,1,Natural gas,91550.46528,4563.16616
Parks Canada,FY 2014-15,facilities,1,Liquified petroleum gas,42391.64187,2586.040895
Parks Canada,FY 2014-15,fleets,1,Fuels with renewable content,30717.86764,1883.623998
Parks Canada,FY 2014-15,fleets,1,Liquified petroleum gas,405.1392617,24.65634968
Parks Canada,FY 2014-15,fleets,1,Natural gas,0.193613154,0.01104563
Parks Canada,FY 2015-16,facilities,2,Electricity,180527.5669,10499.52803
Parks Canada,FY 2015-16,fleets,1,Gasoline,76883.66818,4927.144792
Parks Canada,FY 2015-16,facilities,1,Natural gas,91253.39074,4548.359021
Parks Canada,FY 2015-16,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",60852.69674,4280.930014
Parks Canada,FY 2015-16,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",56514.10155,4052.623366
Parks Canada,FY 2015-16,facilities,1,Liquified petroleum gas,35751.66227,2180.978528
Parks Canada,FY 2015-16,fleets,1,Fuels with renewable content,22853.20653,1401.361864
Parks Canada,FY 2015-16,fleets,1,Liquified petroleum gas,909.6624073,55.36109808
Parks Canada,FY 2015-16,fleets,1,Natural gas,0.22727952,0.012966297
Parks Canada,FY 2016-17,facilities,2,Electricity,172049.231,10102.41105
Parks Canada,FY 2016-17,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",82462.62839,5794.998498
Parks Canada,FY 2016-17,fleets,1,Gasoline,80608.29628,5165.840245
Parks Canada,FY 2016-17,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",62288.05977,4463.952746
Parks Canada,FY 2016-17,facilities,1,Natural gas,75749.05626,3775.573714
Parks Canada,FY 2016-17,facilities,1,Liquified petroleum gas,41572.76477,2536.08648
Parks Canada,FY 2016-17,fleets,1,Fuels with renewable content,24235.68932,1486.135905
Parks Canada,FY 2016-17,fleets,1,Liquified petroleum gas,471.116008,28.67162512
Parks Canada,FY 2016-17,fleets,1,Natural gas,0.00191178,0.000109067
Parks Canada,FY 2017-18,facilities,2,electricity,192256.5915,12837.9998
Parks Canada,FY 2017-18,fleets,1,gasoline,87754.28374,5810.522486
Parks Canada,FY 2017-18,fleets,1,"fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",66102.58942,4645.875037
Parks Canada,FY 2017-18,facilities,1,natural gas,91180.06116,4569.383894
Parks Canada,FY 2017-18,facilities,1,"fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",63238.79689,4533.506441
Parks Canada,FY 2017-18,fleets,1,fuels with renewable content,53364.79806,3509.420912
Parks Canada,FY 2017-18,facilities,1,liquified petroleum gas,49522.28231,3021.606653
Parks Canada,FY 2017-18,fleets,1,liquified petroleum gas,312.7762277,18.95322606
Parks Canada,FY 2017-18,fleets,1,Natural gas,0.82194608,0.046584443
Public Services and Procurement Canada,FY 2005-06,facilities,2,electricity,3187220.266,142912.0875
Public Services and Procurement Canada,FY 2005-06,facilities,2,district energy,1125105.725,79543.76294
Public Services and Procurement Canada,FY 2005-06,facilities,1,natural gas,972531.5065,48333.63686
Public Services and Procurement Canada,FY 2005-06,facilities,1,"fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",112994.6514,8043.479294
Public Services and Procurement Canada,FY 2005-06,fleets,1,gasoline,22079.77858,1354.482116
Public Services and Procurement Canada,FY 2005-06,facilities,1,liquified petroleum gas,6996.884916,426.9155828
Public Services and Procurement Canada,FY 2005-06,fleets,1,"fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",1543.32531,109.5637445
Public Services and Procurement Canada,FY 2005-06,fleets,1,fuels with renewable content,408.036702,25.21464202
Public Services and Procurement Canada,FY 2005-06,fleets,1,liquified petroleum gas,64.03040934,3.896823418
Public Services and Procurement Canada,FY 2005-06,fleets,1,Natural gas,0.041071661,0.002343138
Public Services and Procurement Canada,FY 2010-11,facilities,2,Electricity,3180126.434,91503.9979
Public Services and Procurement Canada,FY 2010-11,facilities,2,District energy,1015560.79,70973.32728
Public Services and Procurement Canada,FY 2010-11,facilities,1,Natural gas,1004604.676,50072.68996
Public Services and Procurement Canada,FY 2010-11,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",79986.6496,5693.935681
Public Services and Procurement Canada,FY 2010-11,fleets,1,Gasoline,12746.37525,816.9804658
Public Services and Procurement Canada,FY 2010-11,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",4434.112794,316.6233218
Public Services and Procurement Canada,FY 2010-11,facilities,1,Liquified petroleum gas,4662.465958,284.4270027
Public Services and Procurement Canada,FY 2010-11,fleets,1,Fuels with renewable content,1699.380803,104.0006371
Public Services and Procurement Canada,FY 2010-11,fleets,1,Natural gas,0.0010678,6.0918E-05
Public Services and Procurement Canada,FY 2011-12,facilities,2,Electricity,3093277.626,70398.50889
Public Services and Procurement Canada,FY 2011-12,facilities,2,District energy,937061.4273,65388.52713
Public Services and Procurement Canada,FY 2011-12,facilities,1,Natural gas,909361.5629,45325.47047
Public Services and Procurement Canada,FY 2011-12,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",71301.67169,5075.649928
Public Services and Procurement Canada,FY 2011-12,fleets,1,Gasoline,12316.48635,789.4851485
Public Services and Procurement Canada,FY 2011-12,facilities,1,Liquified petroleum gas,8563.68912,522.415488
Public Services and Procurement Canada,FY 2011-12,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",3485.11999,248.7994927
Public Services and Procurement Canada,FY 2011-12,fleets,1,Fuels with renewable content,2006.638694,122.5879136
Public Services and Procurement Canada,FY 2012-13,facilities,2,Electricity,3131475.101,76614.29987
Public Services and Procurement Canada,FY 2012-13,facilities,2,District energy,928906.1456,65216.77881
Public Services and Procurement Canada,FY 2012-13,facilities,1,Natural gas,1006242.327,50154.31565
Public Services and Procurement Canada,FY 2012-13,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",69987.34995,4993.908327
Public Services and Procurement Canada,FY 2012-13,fleets,1,Gasoline,10387.3014,665.1048351
Public Services and Procurement Canada,FY 2012-13,facilities,1,Liquified petroleum gas,9683.393132,590.7214143
Public Services and Procurement Canada,FY 2012-13,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",3791.06422,270.5962366
Public Services and Procurement Canada,FY 2012-13,fleets,1,Fuels with renewable content,1677.170444,73.86351554
Public Services and Procurement Canada,FY 2013-14,facilities,2,District energy,874037.1204,62507.68902
Public Services and Procurement Canada,FY 2013-14,facilities,1,Natural gas,1215554.745,60587.11186
Public Services and Procurement Canada,FY 2013-14,facilities,2,Electricity,3176501.937,58115.50451
Public Services and Procurement Canada,FY 2013-14,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",70938.48052,5049.795959
Public Services and Procurement Canada,FY 2013-14,facilities,1,Liquified petroleum gas,10222.60964,623.6155389
Public Services and Procurement Canada,FY 2013-14,fleets,1,Gasoline,9287.9171,594.9200029
Public Services and Procurement Canada,FY 2013-14,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",4797.332759,341.8820582
Public Services and Procurement Canada,FY 2013-14,fleets,1,Fuels with renewable content,2185.080593,133.5186265
Public Services and Procurement Canada,FY 2014-15,facilities,1,Natural gas,1258692.587,62737.23899
Public Services and Procurement Canada,FY 2014-15,facilities,2,District energy,855759.9299,61626.49561
Public Services and Procurement Canada,FY 2014-15,facilities,2,Electricity,3072688.883,44241.83765
Public Services and Procurement Canada,FY 2014-15,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",71033.3931,5056.552364
Public Services and Procurement Canada,FY 2014-15,fleets,1,Gasoline,11668.755,747.813403
Public Services and Procurement Canada,FY 2014-15,facilities,1,Liquified petroleum gas,9793.935999,597.4649223
Public Services and Procurement Canada,FY 2014-15,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",1859.73832,132.1780159
Public Services and Procurement Canada,FY 2014-15,fleets,1,Fuels with renewable content,1424.43616,19.5642828
Public Services and Procurement Canada,FY 2014-15,fleets,1,Liquified petroleum gas,0.02531,0.00154034
Public Services and Procurement Canada,FY 2015-16,facilities,1,electricity,2896507,69370.08
Public Services and Procurement Canada,FY 2015-16,facilities,1,district energy,798450.05,55860.26
Public Services and Procurement Canada,FY 2015-16,facilities,1,natural gas,1031403.96,51300.62
Public Services and Procurement Canada,FY 2015-16,facilities,2,"fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",62915.77,4434.92
Public Services and Procurement Canada,FY 2015-16,fleets,1,Gasoline,10932.53,700.618994
Public Services and Procurement Canada,FY 2015-16,facilities,2,liquified petroleum gas,9705,592.05
Public Services and Procurement Canada,FY 2015-16,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",3359.9441,240.2451268
Public Services and Procurement Canada,FY 2016-17,facilities,2,District energy,815928.2897,56953.29473
Public Services and Procurement Canada,FY 2016-17,facilities,1,Natural gas,1072775.296,53470.53029
Public Services and Procurement Canada,FY 2016-17,facilities,2,Electricity,2899654.445,41426.49214
Public Services and Procurement Canada,FY 2016-17,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",63064.96427,4489.31524
Public Services and Procurement Canada,FY 2016-17,fleets,1,Gasoline,10243.03,656.431894
Public Services and Procurement Canada,FY 2016-17,facilities,1,Liquified petroleum gas,9416.595763,574.4458261
Public Services and Procurement Canada,FY 2016-17,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",3099.6573,221.6339138
Public Services and Procurement Canada,FY 2017-18,facilities,1,natural gas,1005683.149,49966.75507
Public Services and Procurement Canada,FY 2017-18,facilities,2,district energy,833160.9169,45127.04487
Public Services and Procurement Canada,FY 2017-18,facilities,2,electricity,2682356.74,28230.59025
Public Services and Procurement Canada,FY 2017-18,facilities,1,"fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",57911.06566,4122.34697
Public Services and Procurement Canada,FY 2017-18,fleets,1,gasoline,10344.215,684.7131458
Public Services and Procurement Canada,FY 2017-18,facilities,1,liquified petroleum gas,8489.784173,518.0049696
Public Services and Procurement Canada,FY 2017-18,fleets,1,"fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",2247.1376,160.6764403
Public Services and Procurement Canada,FY 2017-18,fleets,1,fuels with renewable content,46.11482,0.6482676
Royal Canadian Mounted Police,FY 2005-06,fleets,1,gasoline,67263.31244,4072.98168
Royal Canadian Mounted Police,FY 2005-06,fleets,1,fuels with renewable content,1161.575627,71.02426072
Royal Canadian Mounted Police,FY 2005-06,fleets,1,"fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",428.929428,30.66961882
Royal Canadian Mounted Police,FY 2005-06,fleets,1,liquified petroleum gas,11.72186268,0.713380244
Royal Canadian Mounted Police,FY 2005-06,fleets,1,Natural gas,0.04584933,0.002615704
Royal Canadian Mounted Police,FY 2017-18,fleets,1,gasoline,16006.4275,1059.511169
Royal Canadian Mounted Police,FY 2017-18,fleets,1,"fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",683.97672,48.90619275
Royal Canadian Mounted Police,FY 2017-18,fleets,1,fuels with renewable content,73.158181,1.43978631
Transport Canada,FY 2005-06,fleets,1,"fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",574779.8274,40591.25186
Transport Canada,FY 2005-06,fleets,1,aviation fuel,196710.3931,13580.84617
Transport Canada,FY 2005-06,fleets,1,gasoline,28914.86297,1757.164149
Transport Canada,FY 2005-06,facilities,2,electricity,94426.48603,1724.546091
Transport Canada,FY 2005-06,facilities,1,"fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",22321.67032,1606.303535
Transport Canada,FY 2005-06,facilities,1,natural gas,18562.41222,923.7253013
Transport Canada,FY 2005-06,facilities,1,liquified petroleum gas,3250.89233,198.3534974
Transport Canada,FY 2005-06,fleets,1,liquified petroleum gas,2032.81302,123.714864
Transport Canada,FY 2005-06,fleets,1,fuels with renewable content,94.241785,1.3248213
Transport Canada,FY 2005-06,fleets,1,Natural gas,0.0398145,0.002271417
Transport Canada,FY 2010-11,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",553626.4537,39095.47589
Transport Canada,FY 2010-11,fleets,1,aviation fuel,152874.6709,10547.50791
Transport Canada,FY 2010-11,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",21241.4471,1520.833534
Transport Canada,FY 2010-11,fleets,1,Gasoline,22231.01055,1424.76211
Transport Canada,FY 2010-11,facilities,2,Electricity,55260.4248,255.8242574
Transport Canada,FY 2010-11,fleets,1,Fuels with renewable content,2686.654623,162.6550235
Transport Canada,FY 2010-11,facilities,1,Liquified petroleum gas,2476.63412,151.083488
Transport Canada,FY 2010-11,facilities,1,Natural gas,2554.4289,127.320855
Transport Canada,FY 2010-11,fleets,1,Liquified petroleum gas,1887.6198,114.8785572
Transport Canada,FY 2011-12,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",570732.8495,40304.99616
Transport Canada,FY 2011-12,fleets,1,aviation fuel,87143.40032,6010.836566
Transport Canada,FY 2011-12,fleets,1,Gasoline,18741.7685,1201.148177
Transport Canada,FY 2011-12,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",16695.02476,1198.273414
Transport Canada,FY 2011-12,facilities,2,Electricity,56146.20538,242.7666239
Transport Canada,FY 2011-12,fleets,1,Fuels with renewable content,3065.106225,187.1118304
Transport Canada,FY 2011-12,facilities,1,Liquified petroleum gas,3059.718307,186.6536968
Transport Canada,FY 2011-12,facilities,1,Natural gas,2997.90056,149.424892
Transport Canada,FY 2011-12,fleets,1,Liquified petroleum gas,2032.82327,123.7154878
Transport Canada,FY 2012-13,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",548485.6567,38732.1363
Transport Canada,FY 2012-13,fleets,1,aviation fuel,95944.1648,6617.651284
Transport Canada,FY 2012-13,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",19504.5157,1402.233284
Transport Canada,FY 2012-13,fleets,1,Gasoline,15204.85995,974.4828665
Transport Canada,FY 2012-13,facilities,2,Electricity,52359.69031,257.8346098
Transport Canada,FY 2012-13,fleets,1,Fuels with renewable content,2855.681978,173.967571
Transport Canada,FY 2012-13,facilities,1,Liquified petroleum gas,2620.36961,159.851864
Transport Canada,FY 2012-13,facilities,1,Natural gas,2854.9612,142.30034
Transport Canada,FY 2012-13,fleets,1,Liquified petroleum gas,1887.6198,114.8785572
Transport Canada,FY 2013-14,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",542509.4297,38310.70731
Transport Canada,FY 2013-14,fleets,1,aviation fuel,138026.0464,9520.20631
Transport Canada,FY 2013-14,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",18763.53717,1355.432876
Transport Canada,FY 2013-14,fleets,1,Gasoline,15024.38462,962.9377599
Transport Canada,FY 2013-14,facilities,2,Electricity,52152.7932,249.8061046
Transport Canada,FY 2013-14,fleets,1,Fuels with renewable content,3142.641989,192.054947
Transport Canada,FY 2013-14,facilities,1,Liquified petroleum gas,2815.497055,171.755332
Transport Canada,FY 2013-14,facilities,1,Natural gas,3278.947042,163.4331419
Transport Canada,FY 2013-14,fleets,1,Liquified petroleum gas,1887.61209,114.878088
Transport Canada,FY 2014-15,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",556205.1164,39276.40555
Transport Canada,FY 2014-15,fleets,1,aviation fuel,122033.055,8417.10598
Transport Canada,FY 2014-15,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",24579.90934,1770.630498
Transport Canada,FY 2014-15,fleets,1,Gasoline,14544.28395,932.1726137
Transport Canada,FY 2014-15,facilities,2,Electricity,49834.50372,222.697866
Transport Canada,FY 2014-15,facilities,1,Liquified petroleum gas,3199.953424,195.2085376
Transport Canada,FY 2014-15,fleets,1,Fuels with renewable content,3069.844081,187.6785219
Transport Canada,FY 2014-15,facilities,1,Natural gas,2616.934262,130.4363209
Transport Canada,FY 2014-15,fleets,1,Liquified petroleum gas,1887.6198,114.8785572
Transport Canada,FY 2015-16,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",522954.7915,36962.90805
Transport Canada,FY 2015-16,fleets,1,aviation fuel,53304.2752,3676.608222
Transport Canada,FY 2015-16,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",26232.98224,1896.706558
Transport Canada,FY 2015-16,fleets,1,Gasoline,14242.66025,912.7510554
Transport Canada,FY 2015-16,facilities,2,Electricity,52204.926,235.6075613
Transport Canada,FY 2015-16,fleets,1,Fuels with renewable content,3142.641989,192.054947
Transport Canada,FY 2015-16,facilities,1,Liquified petroleum gas,2732.3084,166.6805282
Transport Canada,FY 2015-16,facilities,1,Natural gas,3055.846682,152.3131109
Transport Canada,FY 2016-17,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",651656.311,46023.38265
Transport Canada,FY 2016-17,fleets,1,aviation fuel,56735.1268,3913.247726
Transport Canada,FY 2016-17,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",28628.61666,2066.9513
Transport Canada,FY 2016-17,fleets,1,Gasoline,25784.40024,1652.512455
Transport Canada,FY 2016-17,fleets,1,Fuels with renewable content,5873.081895,354.7513078
Transport Canada,FY 2016-17,facilities,1,Natural gas,3956.823693,197.2206687
Transport Canada,FY 2016-17,facilities,1,Liquified petroleum gas,2941.30041,179.429784
Transport Canada,FY 2016-17,facilities,2,Electricity,54750.8856,144.4480684
Transport Canada,FY 2017-18,fleets,1,"fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",571114.8379,40895.36118
Transport Canada,FY 2017-18,fleets,1,aviation fuel,167204.554,11532.764
Transport Canada,FY 2017-18,facilities,1,"fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",26968.97248,1936.461684
Transport Canada,FY 2017-18,fleets,1,gasoline,20377.66231,1349.490933
Transport Canada,FY 2017-18,facilities,1,natural gas,18150.42195,903.9177571
Transport Canada,FY 2017-18,facilities,2,electricity,89083.25791,802.1757736
Transport Canada,FY 2017-18,facilities,1,liquified petroleum gas,2928.253105,178.6676351
Transport Canada,FY 2017-18,fleets,1,fuels with renewable content,1888.766343,26.55168174
